Country,ISO3,Year,sexual_violence
Afghanistan,AFG,2015,46.1
Angola,AGO,2016,25.9
Armenia,ARM,2016,3.5
Austria,AUT,2012,4
Azerbaijan,AZE,2006,9.8
Bangladesh,BGD,2015,28.8
Belgium,BEL,2012,8
Bolivia,BOL,2016,27.1
Bulgaria,BGR,2012,9
Burkina Faso,BFA,2010,9.3
Burundi,BDI,2017,27.9
Cabo Verde,CPV,2005,7.8
Cambodia,KHM,2014,10.9
Cameroon,CMR,2014,32.7
Central African Republic,CAF,2006,26.3
Chad,TCD,2015,17.5
Colombia,COL,2015,18.4
Comoros,COM,2012,4.9
"Congo, Dem. Rep.",COD,2014,36.8
Cote d'Ivoire,CIV,2012,22
Croatia,HRV,2012,4
Cyprus,CYP,2012,3
Czechia,CZE,2012,6
Denmark,DNK,2012,7
Dominican Republic,DOM,2013,16
Ecuador,ECU,2011,10.8
"Egypt, Arab Rep.",EGY,2014,14
El Salvador,SLV,2014,6.7
Equatorial Guinea,GNQ,2011,43.6
Estonia,EST,2012,4
Ethiopia,ETH,2016,19.8
Fiji,FJI,2011,29.7
Finland,FIN,2012,8
France,FRA,2012,7
Gabon,GAB,2012,31.5
"Gambia, The",GMB,2013,7.3
Germany,DEU,2012,5
Ghana,GHA,2008,19.2
Greece,GRC,2012,8
Guatemala,GTM,2015,8.9
Haiti,HTI,2017,13.9
Honduras,HND,2012,11
Hungary,HUN,2012,8
India,IND,2016,22
Ireland,IRL,2012,4
Italy,ITA,2012,7
Jamaica,JAM,2016,8.52
Jordan,JOR,2012,14.1
Kenya,KEN,2014,25.5
Kiribati,KIR,2008,36.1
Kyrgyz Republic,KGZ,2012,17.1
Lao PDR,LAO,2014,6.4
Latvia,LVA,2012,7
Liberia,LBR,2007,35
Lithuania,LTU,2012,6
Luxembourg,LUX,2012,3
Malawi,MWI,2016,24.3
Maldives,MDV,2006,6.4
Mali,MLI,2006,21.5
Malta,MLT,2012,5
Marshall Islands,MHL,2014,20.1
Mexico,MEX,2016,9.5
"Micronesia, Fed. Sts.",FSM,2014,26
Moldova,MDA,2005,14.6
Mongolia,MNG,2017,14.7
Mozambique,MOZ,2015,15.5
Myanmar,MMR,2016,11
Namibia,NAM,2013,20.2
Nepal,NPL,2016,11.2
Netherlands,NLD,2012,7
Nicaragua,NIC,2012,7.5
Nigeria,NGA,2013,11
Palau,PLW,2013,9.6
Panama,PAN,2009,10.1
Paraguay,PRY,2008,8
Peru,PER,2016,10.8
Philippines,PHL,2017,5.5
Poland,POL,2012,3
Portugal,PRT,2012,6
Romania,ROU,2012,7
Rwanda,RWA,2015,20.7
Samoa,WSM,2000,22
Sao Tome and Principe,STP,2009,26.3
Senegal,SEN,2017,12.2
Sierra Leone,SLE,2013,28.7
Slovak Republic,SVK,2012,8
Slovenia,SVN,2012,2
Solomon Islands,SLB,2008,41.8
Spain,ESP,2012,2
Sweden,SWE,2012,6
Tajikistan,TJK,2017,19
Tanzania,TZA,2016,29.6
Timor-Leste,TLS,2016,34.6
Togo,TGO,2014,12.7
Tonga,TON,2009,18.9
Trinidad and Tobago,TTO,2017,6.74
Turkiye,TUR,2014,11
Tuvalu,TUV,2007,25
Uganda,UGA,2016,29.9
Ukraine,UKR,2007,10.2
United Kingdom,GBR,2012,6
Uruguay,URY,2013,2.8
Vanuatu,VUT,2009,44
Viet Nam,VNM,2010,10.8
Zambia,ZMB,2014,26.7
Zimbabwe,ZWE,2015,19.9
