Country,ISO3,Year,sexual_violence_me
East Asia & Pacific,EAS,2023,9.2
Europe & Central Asia,ECS,2023,6.5
Latin America & Caribbean,LCN,2023,7.2
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2023,15.4
North America,NAC,2023,7.7
South Asia,SAS,2023,21.1
Sub-Saharan Africa,SSF,2023,19.3
World,WLD,2023,13.7
Afghanistan,AFG,2023,39.7
Albania,ALB,2023,2.3
Angola,AGO,2023,21.9
Argentina,ARG,2023,10.6
Armenia,ARM,2023,3.6
Australia,AUS,2023,1.8
Austria,AUT,2023,2.1
Azerbaijan,AZE,2023,6.9
"Bahamas, The",BHS,2023,4.2
Bangladesh,BGD,2023,15.7
Belarus,BLR,2023,5.6
Belgium,BEL,2023,5.3
Belize,BLZ,2023,8.2
Benin,BEN,2023,9.5
Bhutan,BTN,2023,5.9
Bolivia,BOL,2023,15.2
Bosnia and Herzegovina,BIH,2023,3.2
Botswana,BWA,2023,16.7
Brazil,BRA,2023,2.4
Bulgaria,BGR,2023,3.7
Burkina Faso,BFA,2023,10.2
Burundi,BDI,2023,25.3
Cabo Verde,CPV,2023,13.9
Cambodia,KHM,2023,4.8
Cameroon,CMR,2023,10.7
Canada,CAN,2023,8.5
Central African Republic,CAF,2023,25.1
Chad,TCD,2023,14.2
Chile,CHL,2023,3.9
China,CHN,2023,10.6
Colombia,COL,2023,14.8
Comoros,COM,2023,6
"Congo, Dem. Rep.",COD,2023,33.2
Costa Rica,CRI,2023,5.7
Cote d'Ivoire,CIV,2023,12.7
Croatia,HRV,2023,2.3
Cuba,CUB,2023,5.1
Cyprus,CYP,2023,6.3
Czechia,CZE,2023,2.8
Denmark,DNK,2023,2.9
Djibouti,DJI,2023,5.9
Dominican Republic,DOM,2023,22.8
Ecuador,ECU,2023,9.8
"Egypt, Arab Rep.",EGY,2023,17.2
El Salvador,SLV,2023,5.3
Equatorial Guinea,GNQ,2023,37
Estonia,EST,2023,2.7
Eswatini,SWZ,2023,17.1
Ethiopia,ETH,2023,20.1
Fiji,FJI,2023,24.8
Finland,FIN,2023,2.7
France,FRA,2023,3.4
Gabon,GAB,2023,22.2
"Gambia, The",GMB,2023,10
Georgia,GEO,2023,1.3
Germany,DEU,2023,4.7
Ghana,GHA,2023,13.4
Greece,GRC,2023,4.6
Grenada,GRD,2023,6.7
Guatemala,GTM,2023,7.2
Guinea,GIN,2023,19.7
Guyana,GUY,2023,11.8
Haiti,HTI,2023,12.5
Honduras,HND,2023,6
"Hong Kong SAR, China",HKG,2023,2.2
Hungary,HUN,2023,5.2
Iceland,ISL,2023,2.4
India,IND,2023,22.4
Indonesia,IDN,2023,3.6
Ireland,IRL,2023,4.6
Israel,ISR,2023,5.4
Italy,ITA,2023,2.8
Jamaica,JAM,2023,5.9
Japan,JPN,2023,3.7
Jordan,JOR,2023,10
Kazakhstan,KAZ,2023,4.7
Kenya,KEN,2023,14.6
Kiribati,KIR,2023,42.2
"Korea, Rep.",KOR,2023,8.4
Kyrgyz Republic,KGZ,2023,12.8
Lao PDR,LAO,2023,6
Latvia,LVA,2023,2.4
Lesotho,LSO,2023,21.2
Liberia,LBR,2023,33.6
Lithuania,LTU,2023,3.6
Luxembourg,LUX,2023,5.3
Madagascar,MDG,2023,14.6
Malawi,MWI,2023,20.9
Maldives,MDV,2023,5
Mali,MLI,2023,17.9
Malta,MLT,2023,4.2
Marshall Islands,MHL,2023,17.6
Mauritania,MRT,2023,6.1
Mexico,MEX,2023,7
"Micronesia, Fed. Sts.",FSM,2023,23.6
Moldova,MDA,2023,9.2
Mongolia,MNG,2023,12.1
Montenegro,MNE,2023,4.2
Morocco,MAR,2023,21.6
Mozambique,MOZ,2023,14
Myanmar,MMR,2023,10.5
Namibia,NAM,2023,17.1
Nauru,NRU,2023,21.6
Nepal,NPL,2023,12.3
Netherlands,NLD,2023,5.2
New Zealand,NZL,2023,1.2
Nicaragua,NIC,2023,5.8
Niger,NER,2023,12.5
Nigeria,NGA,2023,19.6
North Macedonia,MKD,2023,3.8
Norway,NOR,2023,4
Pakistan,PAK,2023,13.1
Palau,PLW,2023,9.2
Panama,PAN,2023,5.2
Papua New Guinea,PNG,2023,45.3
Paraguay,PRY,2023,3.6
Peru,PER,2023,8
Philippines,PHL,2023,3.1
Poland,POL,2023,1.7
Portugal,PRT,2023,4.6
Romania,ROU,2023,10.6
Rwanda,RWA,2023,18.4
Samoa,WSM,2023,27.3
Sao Tome and Principe,STP,2023,19.4
Senegal,SEN,2023,10.7
Serbia,SRB,2023,3.6
Sierra Leone,SLE,2023,41
Singapore,SGP,2023,2.6
Slovak Republic,SVK,2023,5.6
Slovenia,SVN,2023,3
Solomon Islands,SLB,2023,34.1
South Africa,ZAF,2023,10.6
South Sudan,SSD,2023,38.9
Spain,ESP,2023,2.4
Sri Lanka,LKA,2023,8
Sudan,SDN,2023,28.6
Suriname,SUR,2023,6.9
Sweden,SWE,2023,4.3
Switzerland,CHE,2023,4.3
Tajikistan,TJK,2023,16.8
Tanzania,TZA,2023,23.8
Thailand,THA,2023,14.3
Timor-Leste,TLS,2023,33.7
Togo,TGO,2023,10.3
Tonga,TON,2023,13
Trinidad and Tobago,TTO,2023,6.5
Tunisia,TUN,2023,5.8
Turkiye,TUR,2023,13.3
Turkmenistan,TKM,2023,3.5
Turks and Caicos Islands,TCA,2023,8
Tuvalu,TUV,2023,26.3
Uganda,UGA,2023,24.2
Ukraine,UKR,2023,8.9
United Kingdom,GBR,2023,4
United States,USA,2023,7.4
Uruguay,URY,2023,4.7
Vanuatu,VUT,2023,36.4
"Venezuela, RB",VEN,2023,10.6
Viet Nam,VNM,2023,11.2
West Bank and Gaza,PSE,2023,20.8
Zambia,ZMB,2023,19.6
Zimbabwe,ZWE,2023,15.1
