iso3,latitude,longitude
ABW,12.50000000,-69.96666666
AFG,33.00000000,65.00000000
AGO,-12.50000000,18.50000000
AIA,18.25000000,-63.16666666
ALA,60.11666700,19.90000000
ALB,41.00000000,20.00000000
AND,42.50000000,1.50000000
ARE,24.00000000,54.00000000
ARG,-34.00000000,-64.00000000
ARM,40.00000000,45.00000000
ASM,-14.33333333,-170.00000000
ATA,-74.65000000,4.48000000
ATF,-49.25000000,69.16700000
ATG,17.05000000,-61.80000000
AUS,-27.00000000,133.00000000
AUT,47.33333333,13.33333333
AZE,40.50000000,47.50000000
BDI,-3.50000000,30.00000000
BEL,50.83333333,4.00000000
BEN,9.50000000,2.25000000
BES,12.15000000,-68.26666700
BFA,13.00000000,-2.00000000
BGD,24.00000000,90.00000000
BGR,43.00000000,25.00000000
BHR,26.00000000,50.55000000
BHS,24.25000000,-76.00000000
BIH,44.00000000,18.00000000
BLM,18.50000000,-63.41666666
BLR,53.00000000,28.00000000
BLZ,17.25000000,-88.75000000
BMU,32.33333333,-64.75000000
BOL,-17.00000000,-65.00000000
BRA,-10.00000000,-55.00000000
BRB,13.16666666,-59.53333333
BRN,4.50000000,114.66666666
BTN,27.50000000,90.50000000
BVT,-54.43333333,3.40000000
BWA,-22.00000000,24.00000000
CAF,7.00000000,21.00000000
CAN,60.00000000,-95.00000000
CCK,-12.50000000,96.83333333
CHE,47.00000000,8.00000000
CHL,-30.00000000,-71.00000000
CHN,35.00000000,105.00000000
CIV,8.00000000,-5.00000000
CMR,6.00000000,12.00000000
COD,0.00000000,25.00000000
COG,-1.00000000,15.00000000
COK,-21.23333333,-159.76666666
COL,4.00000000,-72.00000000
COM,-12.16666666,44.25000000
CPV,16.00000000,-24.00000000
CRI,10.00000000,-84.00000000
CUB,21.50000000,-80.00000000
CUW,12.11666700,-68.93333300
CXR,-10.50000000,105.66666666
CYM,19.50000000,-80.50000000
CYP,35.00000000,33.00000000
CZE,49.75000000,15.50000000
DEU,51.00000000,9.00000000
DJI,11.50000000,43.00000000
DMA,15.41666666,-61.33333333
DNK,56.00000000,10.00000000
DOM,19.00000000,-70.66666666
DZA,28.00000000,3.00000000
ECU,-2.00000000,-77.50000000
EGY,27.00000000,30.00000000
